00,6,13
01,1,14,64,2,Red,                   1st floor section
06,1,12,1
08,10,4,0
07,13,13,2
06,16,12,0
02,9,10,Brick,YoshiGreenEgg,		Yoshi			
02,21,10,Brick,NoItem
02,22,10,Question,RotatingCoin
02,23,10,Brick,NoItem
02,23,6,Question,Powerup,
05,23,13,WalkingGoomba,             1st goomba
02,24,10,Question,RotatingCoin
02,25,10,Brick,NoItem
08,20,3,0
07,23,13,0
04,29,12,2,False,Top,               1st pipe
08,29,4,2
05,35,9,CrawfisLeft,				1st crawfis
06,36,12,1
07,42,13,1
04,45,10,4,False,Top,				2nd pipe
06,49,12,1
05,55,13,WalkingGoomba,				2nd goomba
05,57,13,WalkingGoomba,				3rd goomba
08,57,4,0
02,59,13,Metal,NoItem,				1st Staircase
02,60,13,Metal,NoItem
02,60,12,Metal,NoItem
02,61,13,Metal,NoItem
02,61,12,Metal,NoItem
02,61,11,Metal,NoItem
02,62,13,Metal,NoItem
02,62,12,Metal,NoItem
02,62,11,Metal,NoItem
02,62,10,Metal,NoItem
02,63,13,Metal,NoItem
02,63,12,Metal,NoItem
02,63,11,Metal,NoItem
02,63,10,Metal,NoItem
02,63,9,Metal,NoItem
02,64,13,Metal,NoItem
02,64,12,Metal,NoItem
02,64,11,Metal,NoItem
02,64,10,Metal,NoItem
02,64,9,Metal,NoItem
02,64,8,Metal,NoItem
08,68,3,0

02,71,13,Brick,NoItem,				1st Gap
02,72,13,Brick,NoItem
02,73,13,Brick,NoItem

01,76,14,15,2,Red,					2nd floor section
07,75,13,0
02,78,10,Brick,NoItem
02,79,10,Question,Powerup,			? powerup
02,80,10,Brick,NoItem
08,76,4,2
02,81,6,Brick,NoItem
02,82,6,Brick,NoItem
02,83,6,Brick,NoItem
02,84,6,Brick,NoItem
02,85,6,Brick,NoItem
02,86,6,Brick,NoItem
02,87,6,Brick,NoItem
02,92,4,Brick,NoItem
02,93,4,Brick,NoItem
02,94,4,Brick,NoItem
02,95,4,Brick,NoItem
02,96,4,Brick,NoItem
02,94,1,Question,1up,				1up
11,84,13,							checkpoint
05,82,5,WalkingGoomba,				5th goomba
05,84,5,WalkingGoomba,				6th goomba					
08,85,3,1
01,90,14,69,2,Red,					3rd floor section
07,90,13,1
02,101,10,CoinBrick,RotatingCoin
06,97,12,1
02,108,10,Brick,NoItem
02,109,10,Question,RotatingCoin
02,110,6,Brick,Star,				brick star
02,110,10,Brick,NoItem
02,111,10,Question,RotatingCoin
02,112,10,Brick,NoItem
05,107,13,LeftWalkingKoopa,			1st koopa
05,114,13,WalkingGoomba,			7th goomba
05,116,13,WalkingGoomba,			8th goomba
08,104,4,0
07,109,13,2
06,112,12,0
08,116,3,0
07,120,13,0
08,124,4,2
05,125,13,WalkingGoomba,			9th goomba
05,127,13,LeftWalkingKoopa,			2nd koopa
02,129,6,Brick,NoItem
02,130,6,Question,RotatingCoin
02,130,10,Brick,NoItem
02,131,6,Question,RotatingCoin
02,131,10,Brick,NoItem
02,132,6,Brick,NoItem
08,133,3,1
